Model,Type,Account,Answer,Correct,Repetition per Account(Model),Repetition per Type(Model),Repetition per Question(Model),Account(Model) Cumulative,Type(Model) Cumulative,Question(Model) Cumulative,Account(Model) Percentual,Type(Model) Percentual,Question(Model) Percentual,Type and Account Percentual
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,5,0,1,1,1,0,0,0,=0/1,=0/1,=0/1,=0/1
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,5,0,2,2,2,0,0,0,=0/2,=0/2,=0/2,=0/2
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,5,0,3,3,3,0,0,0,=0/3,=0/3,=0/3,=0/3
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,5,0,4,4,4,0,0,0,=0/4,=0/4,=0/4,=0/4
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,5,0,5,5,5,0,0,0,=0/5,=0/5,=0/5,=0/5
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,5,0,6,6,6,0,0,0,=0/6,=0/6,=0/6,=0/6
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,5,0,7,7,7,0,0,0,=0/7,=0/7,=0/7,=0/7
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,5,0,8,8,8,0,0,0,=0/8,=0/8,=0/8,=0/8
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,5,0,9,9,9,0,0,0,=0/9,=0/9,=0/9,=0/9
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,5,0,10,10,10,0,0,0,=0/10,=0/10,=0/10,=0/10
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,5,0,11,11,11,0,0,0,=0/11,=0/11,=0/11,=0/11
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,5,0,12,12,12,0,0,0,=0/12,=0/12,=0/12,=0/12
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,5,0,13,13,13,0,0,0,=0/13,=0/13,=0/13,=0/13
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,5,0,14,14,14,0,0,0,=0/14,=0/14,=0/14,=0/14
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,5,0,15,15,15,0,0,0,=0/15,=0/15,=0/15,=0/15
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,5,0,16,16,16,0,0,0,=0/16,=0/16,=0/16,=0/16
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,5,0,17,17,17,0,0,0,=0/17,=0/17,=0/17,=0/17
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,5,0,18,18,18,0,0,0,=0/18,=0/18,=0/18,=0/18
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,5,0,19,19,19,0,0,0,=0/19,=0/19,=0/19,=0/19
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,5,0,20,20,20,0,0,0,=0/20,=0/20,=0/20,=0/20
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,5,0,21,21,21,0,0,0,=0/21,=0/21,=0/21,=0/21
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,5,0,22,22,22,0,0,0,=0/22,=0/22,=0/22,=0/22
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,5,0,23,23,23,0,0,0,=0/23,=0/23,=0/23,=0/23
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,5,0,24,24,24,0,0,0,=0/24,=0/24,=0/24,=0/24
