Model,Type,Account,Steps,Correct,Repetition per Account(Model),Repetition per Type(Model),Repetition per Question(Model),Account(Model) Cumulative,Type(Model) Cumulative,Question(Model) Cumulative,Account(Model) Percentual,Type(Model) Percentual,Question(Model) Percentual,Type and Account Percentual
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,1,1,1,0,0,0,=0/1,=0/1,=0/1,=0/1
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,2,2,2,0,0,0,=0/2,=0/2,=0/2,=0/2
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,7,0,3,3,3,0,0,0,=0/3,=0/3,=0/3,=0/3
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,4,4,4,0,0,0,=0/4,=0/4,=0/4,=0/4
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,5,5,5,0,0,0,=0/5,=0/5,=0/5,=0/5
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,7,0,6,6,6,0,0,0,=0/6,=0/6,=0/6,=0/6
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,7,7,7,0,0,0,=0/7,=0/7,=0/7,=0/7
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,7,0,8,8,8,0,0,0,=0/8,=0/8,=0/8,=0/8
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,5,0,9,9,9,0,0,0,=0/9,=0/9,=0/9,=0/9
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,10,10,10,0,0,0,=0/10,=0/10,=0/10,=0/10
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,7,0,11,11,11,0,0,0,=0/11,=0/11,=0/11,=0/11
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,12,12,12,0,0,0,=0/12,=0/12,=0/12,=0/12
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,13,13,13,0,0,0,=0/13,=0/13,=0/13,=0/13
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,14,14,14,0,0,0,=0/14,=0/14,=0/14,=0/14
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,15,15,15,0,0,0,=0/15,=0/15,=0/15,=0/15
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,16,16,16,0,0,0,=0/16,=0/16,=0/16,=0/16
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,17,17,17,0,0,0,=0/17,=0/17,=0/17,=0/17
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,18,18,18,0,0,0,=0/18,=0/18,=0/18,=0/18
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,19,19,19,0,0,0,=0/19,=0/19,=0/19,=0/19
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,4,0,20,20,20,0,0,0,=0/20,=0/20,=0/20,=0/20
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,21,21,21,0,0,0,=0/21,=0/21,=0/21,=0/21
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,7,0,22,22,22,0,0,0,=0/22,=0/22,=0/22,=0/22
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,23,23,23,0,0,0,=0/23,=0/23,=0/23,=0/23
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,24,24,24,0,0,0,=0/24,=0/24,=0/24,=0/24
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,4,0,25,25,25,0,0,0,=0/25,=0/25,=0/25,=0/25
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,4,0,26,26,26,0,0,0,=0/26,=0/26,=0/26,=0/26
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,27,27,27,0,0,0,=0/27,=0/27,=0/27,=0/27
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,4,0,28,28,28,0,0,0,=0/28,=0/28,=0/28,=0/28
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,29,29,29,0,0,0,=0/29,=0/29,=0/29,=0/29
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,30,30,30,0,0,0,=0/30,=0/30,=0/30,=0/30
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,31,31,31,0,0,0,=0/31,=0/31,=0/31,=0/31
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,32,32,32,0,0,0,=0/32,=0/32,=0/32,=0/32
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,19,0,33,33,33,0,0,0,=0/33,=0/33,=0/33,=0/33
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,34,34,34,0,0,0,=0/34,=0/34,=0/34,=0/34
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,12,0,35,35,35,0,0,0,=0/35,=0/35,=0/35,=0/35
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,36,36,36,0,0,0,=0/36,=0/36,=0/36,=0/36
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,37,37,37,0,0,0,=0/37,=0/37,=0/37,=0/37
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,4,0,38,38,38,0,0,0,=0/38,=0/38,=0/38,=0/38
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,39,39,39,0,0,0,=0/39,=0/39,=0/39,=0/39
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,40,40,40,0,0,0,=0/40,=0/40,=0/40,=0/40
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,7,0,41,41,41,0,0,0,=0/41,=0/41,=0/41,=0/41
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,42,42,42,0,0,0,=0/42,=0/42,=0/42,=0/42
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,3,0,43,43,43,0,0,0,=0/43,=0/43,=0/43,=0/43
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,44,44,44,0,0,0,=0/44,=0/44,=0/44,=0/44
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,45,45,45,0,0,0,=0/45,=0/45,=0/45,=0/45
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,4,0,46,46,46,0,0,0,=0/46,=0/46,=0/46,=0/46
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,47,47,47,0,0,0,=0/47,=0/47,=0/47,=0/47
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,48,48,48,0,0,0,=0/48,=0/48,=0/48,=0/48
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,49,49,49,0,0,0,=0/49,=0/49,=0/49,=0/49
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,3,0,50,50,50,0,0,0,=0/50,=0/50,=0/50,=0/50
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,51,51,51,0,0,0,=0/51,=0/51,=0/51,=0/51
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,3,0,52,52,52,0,0,0,=0/52,=0/52,=0/52,=0/52
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,3,0,53,53,53,0,0,0,=0/53,=0/53,=0/53,=0/53
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,4,0,54,54,54,0,0,0,=0/54,=0/54,=0/54,=0/54
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,3,0,55,55,55,0,0,0,=0/55,=0/55,=0/55,=0/55
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,3,0,56,56,56,0,0,0,=0/56,=0/56,=0/56,=0/56
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,57,57,57,0,0,0,=0/57,=0/57,=0/57,=0/57
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,58,58,58,0,0,0,=0/58,=0/58,=0/58,=0/58
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,59,59,59,0,0,0,=0/59,=0/59,=0/59,=0/59
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,3,0,60,60,60,0,0,0,=0/60,=0/60,=0/60,=0/60
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,7,0,61,61,61,0,0,0,=0/61,=0/61,=0/61,=0/61
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,62,62,62,0,0,0,=0/62,=0/62,=0/62,=0/62
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,63,63,63,0,0,0,=0/63,=0/63,=0/63,=0/63
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,64,64,64,0,0,0,=0/64,=0/64,=0/64,=0/64
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,4,0,65,65,65,0,0,0,=0/65,=0/65,=0/65,=0/65
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,66,66,66,0,0,0,=0/66,=0/66,=0/66,=0/66
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,3,0,67,67,67,0,0,0,=0/67,=0/67,=0/67,=0/67
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,68,68,68,0,0,0,=0/68,=0/68,=0/68,=0/68
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,69,69,69,0,0,0,=0/69,=0/69,=0/69,=0/69
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,5,0,70,70,70,0,0,0,=0/70,=0/70,=0/70,=0/70
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,6,0,71,71,71,0,0,0,=0/71,=0/71,=0/71,=0/71
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,5,0,72,72,72,0,0,0,=0/72,=0/72,=0/72,=0/72
