Model,Type,Account,Answer,Correct,Repetition per Account(Model),Repetition per Type(Model),Repetition per Question(Model),Account(Model) Cumulative,Type(Model) Cumulative,Question(Model) Cumulative,Account(Model) Percentual,Type(Model) Percentual,Question(Model) Percentual,Type and Account Percentual
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,3,0,1,1,1,0,0,0,=0/1,=0/1,=0/1,=0/1
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2,0,2,1,2,0,0,0,=0/2,=0/1,=0/2,=0/1
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,3,0,4,2,4,0,0,0,=0/4,=0/2,=0/4,=0/2
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,0,1,5,3,5,1,1,1,=1/5,=1/3,=1/5,=1/3
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,0,1,6,4,6,2,2,2,=2/6,=2/4,=2/6,=2/4
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2,0,7,5,7,2,2,2,=2/7,=2/5,=2/7,=2/5
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,0,1,8,6,8,3,3,3,=3/8,=3/6,=3/8,=3/6
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,3,0,3,2,3,0,0,0,=0/3,=0/2,=0/3,=0/2
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,4,0,10,3,10,4,0,4,=4/10,=0/3,=4/10,=0/3
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,4,0,11,4,11,4,0,4,=4/11,=0/4,=4/11,=0/4
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,3,0,12,5,12,4,0,4,=4/12,=0/5,=4/12,=0/5
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,3,0,13,6,13,4,0,4,=4/13,=0/6,=4/13,=0/6
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,3,0,14,7,14,4,0,4,=4/14,=0/7,=4/14,=0/7
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,3,0,15,8,15,4,0,4,=4/15,=0/8,=4/15,=0/8
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,3,0,16,9,16,4,0,4,=4/16,=0/9,=4/16,=0/9
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,3,0,17,10,17,4,0,4,=4/17,=0/10,=4/17,=0/10
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,3,0,18,11,18,4,0,4,=4/18,=0/11,=4/18,=0/11
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,3,0,19,12,19,4,0,4,=4/19,=0/12,=4/19,=0/12
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,3,0,20,13,20,4,0,4,=4/20,=0/13,=4/20,=0/13
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,3,0,21,14,21,4,0,4,=4/21,=0/14,=4/21,=0/14
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,3,0,22,15,22,4,0,4,=4/22,=0/15,=4/22,=0/15
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,3,0,23,16,23,4,0,4,=4/23,=0/16,=4/23,=0/16
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,3,0,24,17,24,4,0,4,=4/24,=0/17,=4/24,=0/17
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,3,0,25,18,25,4,0,4,=4/25,=0/18,=4/25,=0/18
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,3,0,26,19,26,4,0,4,=4/26,=0/19,=4/26,=0/19
